"","X","Rank","Artist","Lyrics","Title","album_name","release_date","total_tracks","duration","track_number","album_single","chart","stanzas","year_chart","decade","m_l_dist","rep","rel","rel_prop"
"11",30,"31","Bob Luman","In every other song that I've heard lately
Some fellow gets shot
And his baby and his best friend both die with him
As likely as not
In half of the other songs
Some Cat's crying or ready to die
We've lost most of our happy people
And I'm wondering why

Let's think about living
Let's think about loving
Let's think about the whoopin'
And hoppin and boppin'
And the lovie, lovie dovin'
Let's forget about the whinin' and the cryin'
And the shooting and the dying
And the fellow with a switchblade knife
Let's think about living
Let's think about life

We lost old Marty Robbins
Down in old El Paso a little while back
And now Miss Patti Page or one of them
Is a-wearing black
And Cath's Clown has Don and Phil
Where they feel like a-they could die
If we keep on a-losin' our singers like that
I'll be the only one you can buy'

Let's think about living
Let's think about loving
Let's think about the whoopin'
And hoppin and boppin'
And the lovie, lovie dovin'
Let's forget about the whinin' and the cryin'
And the shooting and the dying
And the fellow with a switchblade knife
Let's think about living
Let's think about life","Let's Think About Living","Let's Think About Living",1960,2,120,1,"Single",1,3,1960,1960,146.333333333333,0.333333333333333,"3",71.4285714285714
"12",31,"32","Stonewall Jackson","I've got my angel on my mind that's why I'm walkin'
There's such an ache in this old heart now I ain't talkin'
The little hand that held mine tight just waved goodbye tonight
I've got her sweet love on my mind that's why I'm walkin'

With an old love on your mind life's not worth livin'
I breathe her name with every breath I'm breathin'
Why could I never see how much she meant to me
I've got her sweet love on my mind that's why I'm walkin'

With an old love on your mind life's not worth livin'
I breathe her name with every breath I'm breathin'
Why could I never see how much she meant to me
I've got her sweet love on my mind that's why I'm walkin'
I've got my angel on my mind that's why I'm walkin'","Why I'm Walkin'","The Dynamic Stonewall Jackson",1959,12,138,10,"Album",1,2,1960,1960,161,0,"3",60.4651162790698
"13",33,"34","Jim Reeves","Am I losing you?
Are my fears coming true?
How I wish I knew
Am I losing you?

Is your love really true?
Is there somebody new?
Tell me what to do
Am I losing you?

Am I too blind to see
What's then happ'ning to me?
Ev'ry road has a bend
Will I be sweetheart or friend?

Will the sweet things you do
Be for somebody new?
Tell me what to do
Am I losing you?

Ev'ry road has a bend
Will I be sweetheart or friend?

Will the sweet things you do
Be for somebody new?
Tell me what to do
Am I losing you?","Am I Losing You","Am I Losing You / I Missed Me",1960,2,162,1,"Single",1,5,1960,1960,52.1,0.1,"3",48.3870967741936
"14",42,"43","The Browns","I peeked in to say goodnight
When I heard my child in prayer
Send dear God, some scarlet ribbons
Scarlet ribbons for my hair

All the stores were closed and shuttered
All the streets were dark and bare
In our town no scarlet ribbons
Not one ribbon for her hair

Through the night my heart was aching
Just before the dawn was breaking
I peeked in and on her bed
In gay profusion laying there
I saw ribbonsm scarlet ribbons
Scarlet ribbons for her hair

If I live to be a hundred
I will never know from where
Came those lovely scarlet ribbons
Scarlet ribbons for her hair","Scarlet Ribbons (For Her Hair)","Scarlet Ribbons (For Her Hair)",1959,2,155,1,"Single",1,3,1960,1960,73,0.333333333333333,"3",71.4285714285714
"15",46,"47","Hank Snow","(Dark old cave Miller's Cave)
Way down in the state of Georgia through the swamps and everglades
There's a hole in Tiger Mountain God help the man who gets lost in Miller's Cave
I had a girl in way cross Georgia but she had unfaithful ways
Made me feel I was unwanted like the birds and the bears in Miller's Cave
(Miller's Miller's Miller's Miller's Cave)

I couldn't stand the way she did me couldn't take her lowdown ways
Before I'll stay with the cheating woman I'll go live with the bears in Miller's Cave
I caught her out one Sunday morning with the man they call Big Dave
Meanest man in way cross Georgia I'd rather fight a mountain lion in Miller's Cave
(Miller's Miller's Miller's Miller's Cave)

I said you'll pay both you and Davy I must see you in your graves
They laughed at me and then I shot 'em
I took their cheatin' skin and bones in Miller's Cave
That woman made me feel unwanted but I showed her I was brave
Most wanted man in the state of Georgia
But they'll never find me 'cause I'm lost in Miller's Cave
(Dark old cave Miller's Cave)","Miller's Cave","Miller's Cave",1960,2,158,1,"Single",1,2,1960,1960,247,0,"3",54.2857142857143
"16",53,"54","Johnny Cash","Everybody's going out and having fun
I'm just a fool for staying home and having none
I can't get over how she set set me free oh lonesome me

A bad mistake I'm making by just hanging round
I know that I should have some fun and paint the town
I thought of everything from A to Z oh lonesome me

I'll bet she's not like me she's out and fancy free
Flirtin' with the boys with all her charms
But I still love her so and brother don't you know
I'd welcome her right back here in my arms

Well there must be some way I can lose these lonesome blues
Forget about the past and find somebody new
I thought of everything from A to Z oh lonesome me oh lonesome me

Well I'll bet she's not like me...
Oh lonesome me","Oh Lonesome Me","Oh Lonesome Me / Life Goes On",1960,2,145,1,"Single",1,4,1960,1960,125.333333333333,0.166666666666667,"3",61.7647058823529
"17",56,"57","The Fendermen","Well, good morning, Captain
Well, good morning to you
Do you need another mule skinner
Down on your new mud run
Ha, ha, hip, ee, ee...

Well, I'm an old mule skinner
From down Kentucky way
And I can make any mule listen
Or I won't accept your pay
Ha, ha, ha, ha, ha
Hee, hee, hee, hee, hee, ha, ha
Well hey, hey

Little water boy, come here boy
Bring that water bucket around
Ha, ha, ha
If you don't like your job
Water boy, put that bucket down
Ha, ha, ha, ee, ee, ha, ha, ha

Well, I'm an old mule skinner
From down Kentucky way
And I can make any mule listen
Or I won't accept your pay
Ha, ha, ha, ha, ha
Hee, hee, hee, hee, hee, ha, ha
Well hey, hey","Mule Skinner Blues","Mule Skinner Blues / Torture",1960,2,140,1,"Single",1,3,1960,1960,81.3333333333333,0.333333333333333,"2",53.8461538461538
"18",77,"78","Johnny Cash","Well a readin' and a writin' and 'rithmetic never did get through to me
It ain't because I'm square or thick 'cause I learned my ABC's
But when I graduated from the grammar school and I moved one grade above
I began to be a snook at books but I made straight A's in love

Now the teacher would say to learn your algebra but I'd bring name C's and D's
How could I make an A when there's a swingin' maid
On the left and on the right and in the back and the front of me
Oh my grades are low on my card I know but they oughta give me one above
If I made a mark for learnin' in the dark I'd have straight A's in love

Now in my senior year with graduation near I did my home work every night
And when my mama said I oughta go to bed I'd turn out all the lights
But my sweetic pie was waitin' right outside she'd be a cooin' like a dove
Though I did my beat I made some mess o'test but I made straight A's in love

Now the teacher would say to learn your algebra but I'd bring name C's and D's
How could I make an A when there's a swingin' maid
On the left and on the right and in the back and the front of me
Oh my grades are low on my card I know but they oughta give me one above
If I made a mark for learnin' in the dark I'd have straight A's in love","Straight A's In Love","Straight A's In Love / I Love You Because",1959,2,122,1,"Single",1,3,1960,1960,150,0.333333333333333,"3",82.2222222222222
"19",89,"90","Sonny James","I was put here by a jury of twelve good men and true,
For myself I would'nt worry, but what about Jenny Lou.

What'll they do to her, what'll they do to her,
What'll they do to my darlin'?
Will they go blamin' her, tauntin' and shamin' her
After I'm gone away.

Since the main street was deserted, they all believed the worse,
There was only me, and Jenny could swear it was him drew first.
They believed I meant to kill him, although he'd been my pal,
There was real bad blood between us, for Jenny was once his gal.

What'll they do to her, what'll they do to her,
What'll they do to my darlin'?
Will they go blamin' her, tauntin' and shamin' her
After I'm gone away.

Now they'll make my Jenny suffer, for her good name is gone,
How his brother's lied by saying that Jenny had led him on!
They'll be comin' in the mornin' to take me to a tree,
When I think how they'll treat Jenny, I wish it was him killed me.

What'll they do to her, what'll they do to her,
What'll they do to my darlin'?
Will they go blamin' her, tauntin' and shamin' her
After I'm gone away.

What'll they do to her, what'll they do to her, after I'm gone away.","Jenny Lou","Jenny Lou",1959,2,150,1,"Single",1,6,1960,1960,143.666666666667,0.133333333333333,"1",56.578947368421
"20",99,"100","Ernest Tubb","The tears I cried for you could fill an ocean,
But you don't care how many tears I cry
And though you only lead me on and hurt me,
I couldn't bring myself to say goodbye

Cause everybody's somebody's fool
Everybody's somebody's plaything
And there are no exceptions to the rule
Yes, everybody's somebody's fool

I told myself it's best that I forget you,
Though I'm a fool, at least I know the score
Yet darlin', I'd be twice as blue without you
It hurts, but I'd come running back for more

Cause everybody's somebody's fool
Everybody's somebody's plaything
And there are no exceptions to the rule
Yes, everybody's somebody's fool

Someday you'll find someone you really care for
And if her love should prove to be untrue,
You'll know how much this heart of my is breakin'
You'll cry for her the way I cried for you

Yes, everybody's somebody's fool
Everybody's somebody's plaything
And there are no exceptions to the rule
Yes, everybody's somebody's fool","Ev'rybody's Somebody's Fool","Ev'rybody's Somebody's Fool",1960,2,161,1,"Single",1,5,1960,1960,92.2,0.3,"3",29.4117647058824
"21",0,"1","Elvis Presley","Are you lonesome tonight?
Do you miss me tonight?
Are you sorry we drifted apart?
Does your memory stray
To a bright summer day
When I kissed you and called you sweetheart?

Do the chairs in your parlor seem empty and bare?
Do you gaze at your doorstep and picture me there?
Is your heart filled with pain?
Shall I come back again?
Tell me dear, are you lonesome tonight?

I wonder if you're lonesome tonight
You know, someone said that the world's a stage
And each must play a part
Fate had me playing in love with you as my sweetheart
Act one was when we met
I loved you at first glance
You read your line so cleverly and never missed a cue
Then came act two
You seemed to change, you acted strange
And why I've never known

Honey, you lied when you said you loved me
And I had no cause to doubt you
But I'd rather go on hearing your lies
Than to go on living without you

Now the stage is bare and I'm standing there
With emptiness all around
And if you won't come back to me
Then they can bring the curtain down

Is your heart filled with pain?
Shall I come back again?
Tell me dear, are you lonesome tonight?","Are You Lonesome Tonight?","Are You Lonesome Tonight?",1960,2,187,1,"Single",1,5,1960,1960,180.3,0.1,"2",57.1428571428571
"22",3,"4","Johnny Horton","Way up north to Alaska, way up north to Alaska
North to Alaska, go north, the rush is on
North to Alaska, go north, the rush is on

Big Sam left Seattle in the year of '92
With George Pratt his partner and brother Billy too
They crossed the Yukon River and found a bonanza gold
Below that old white mountain, just a little southeast of Nome
Sam crossed the majestic mountains to the valleys far below
He talked to his team of huskies as he mushed on through the snow
With the Northern Lights a runnin' wild in the Land of the Midnight Sun
Yes, Sam McCord was a mighty man in the year of nineteen-one

Where the river is winding, big nuggets they're finding
North to Alaska, go north, the rush is on
Way up north to Alaska, way up north to Alaska
North to Alaska, go north, the rush is on
North to Alaska, go north, the rush is on

George turned to Sam with his gold in his hand
Said, ""Sam you're a lookin' at a lonely, lonely man
I'd trade all the gold that's buried in this land
For one small band of golden place on sweet little Jenny's hand
'Cause a man needs a woman to love him all the time
Remember Sam a true love is so hard to find
I'd build for my Jenny a honeymoon home
Below that old white mountain just a little southeast of Nome""

Where the river is windin', big nuggets they're findin'
North to Alaska, we've gone north, the rush is on
North to Alaska, we've gone north, the rush is on
Way up north to Alaska, way up north to Alaska
North to Alaska, go north, the rush is on
North to Alaska, go north, the rush is on","North To Alaska","North To Alaska",1960,2,170,1,"Single",1,4,1960,1960,229.333333333333,0.166666666666667,"1",58.8235294117647
"23",16,"17","Faron Young","Well, I spent the better part of my life
On a Mississippi riverboat
I used to be known from coast to coast
As the slickest gambler afloat.

I've dealt the cards from Minnesota
To the harbor in New Orleans
I made a lotta big money on the riverboat
I loved a lotta pretty riverboat queens.

Riverboat, riverboat
I love your whistle's wail
I wish I was back on the riverboart
'Stead of in the Memphis jail.

Oh, a big man got on the riverboat
Our last time in St. Paul
He had a lotta money but his luck went bad
And the riverboat won it all.

He said I dealt from the bottom of the deck
And he pulled a shiny knife
But before that gambler lunged at me
My .44 took his life.

Riverboat, riverboat
I love your whistle's wail
I wish I was back on the riverboart
'Stead of in the Memphis jail.

Well, they came on the boat and they took me to jail
When we got to Tennessee
A gamblin' man has very few friends
Guess nobody cared for me.

So I might be here for a many long years
But if I ever get out 
I'm gonna head straight for that levee
And get me a riverboat headin' south.

Riverboat, riverboat
I love your whistle's wail
I wish I was back on the riverboart
'Stead of in the Memphis jail.

'Stead of in the Memphis jail...","Riverboat","Faron Young Sings The Best Of Faron Young",1960,12,131,1,"Album",1,9,1960,1960,101.5,0.0277777777777778,"3",63.4146341463415
"24",17,"18","Marty Robbins","To the town of Agua Fria rode a stranger one fine day
Hardly spoke to folks around him didn't have too much to say
No one dared to ask his business no one dared to make a slip
For the stranger there among them had a big iron on his hip
Big iron on his hip

It was early in the morning when he rode into the town
He came riding from the south side slowly lookin' all around
He's an outlaw loose and running came the whisper from each lip
And he's here to do some business with the big iron on his hip
Big iron on his hip

In this town there lived an outlaw by the name of Texas Red
Many men had tried to take him and that many men were dead
He was vicious and a killer though a youth of twenty four
And the notches on his pistol numbered one and nineteen more
One and nineteen more

Now the stranger started talking made it plain to folks around
Was an Arizona ranger wouldn't be too long in town
He came here to take an outlaw back alive or maybe dead
And he said it didn't matter he was after Texas Red
After Texas Red

Wasn't long before the story was relayed to Texas Red
But the outlaw didn't worry men that tried before were dead
Twenty men had tried to take him twenty men had made a slip
Twenty one would be the ranger with the big iron on his hip
Big iron on his hip

The morning passed so quickly it was time for them to meet
It was twenty past eleven when they walked out in the street
Folks were watching from the windows every-body held their breath
They knew this handsome ranger was about to meet his death
About to meet his death

There was forty feet between them when they stopped to make their play
And the swiftness of the ranger is still talked about today
Texas Red had not cleared leather 'fore a bullet fairly ripped
And the ranger's aim was deadly with the big iron on his hip
Big iron on his hip

It was over in a moment and the folks had gathered round
There before them lay the body of the outlaw on the ground
Oh he might have went on living but he made one fatal slip
When he tried to match the ranger with the big iron on his hip
Big iron on his hip

Big iron Big iron

When he tried to match the ranger with the big iron on his hip","Big Iron","Big Iron",1960,2,236,1,"Single",1,9,1960,1960,186.555555555556,0.222222222222222,"1",93.75
"25",35,"36","Wynn Stewart","Wishing I could see you again dear
That the fire of love would burn once more
But I guess that's wishful thinking
And too much to be wishing for

Just thinking how you once kissed me
Wishing that it hadn't meant goodbye
But I guess that's wishful thinking
Now I know why some people cry

I'll just live my life in dreams and I long for your love
It's you I'm wishing for and it's you I'm thinking of

My heart echoes the love words you spoken
How I wish I could hear them from you
Won't you answer a heart that is broken
And to make my wishful thinking come true

My heart echoes the love words...","Wishful Thinking ","Wishful Thinking ",1959,2,166,1,"Single",1,4,1960,1960,104.666666666667,0.166666666666667,"3",46.875
"26",2,"3","Burl Ives","A little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
But a little bitty tear let me down

You said you were leaving tomorrow
That today was our last day
I said there'd be no sorrow
That I'd laugh when you walked away

But a little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
But a little bitty tear let me down

I said I'd laugh when you left me
Pull a funny as you went out the door
That I'd have another one waiting
And I'd wave goodbye as you go

But a little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
But a little bitty tear let me down

Everything went like a planned it
And really put on quite a show
In my heart I felt I could stand it
'Til you walked with your grip through the door

Then a little bitty tear let me down
Spoiled my act as a clown
I had it made up not make a frown
Oh, but a little bitty tear let me down
A little bitty tear let me down","A Little Bitty Tear","A Little Bitty Tear / Shanghied",1961,2,122,1,"Single",1,6,1961,1960,73.0666666666667,0.2,"3",63.6363636363636
"27",5,"6","Faron Young","Hello walls (hello hello) how things go for you today
Don't you miss her since she upped and walked away
And I'll bet you dread to spend another lonely night with me
But lonely walls I'll keep you company.

Hello window (hello hello) well I see that you're still here
Aren't you lonely since our darling disappeared
Well look here is that a teardrop in the corner of your pane
Now don't you try to tell me that it's rain.

She went away and left us all alone the way she planned
Yes, we'll have to learn to get along without her if we can
Hello ceiling (hello hello) I'm gonna stare at you a while
You know I can't sleep so won't you bear with me awhile.

We must all stick together or else I'll lose my mind
I've got a feeling she'll be gone a long, long time.
(Hello, hello)...","Hello Walls","Hello Walls / Congratulations",1961,2,142,1,"Single",1,3,1961,1960,148.666666666667,0,"3",47.0588235294118
"28",6,"7","Patsy Cline","I fall to pieces
Each time I see you again
I fall to pieces
How can I be just your friend?

You want me to act like we've never kissed
You want me to forget (to forget)
Pretend we've never met (never met)
And I've tried and I've tried, but I haven't yet
You walk by and I fall to pieces

I fall to pieces
Each time someone speaks your name (speaks your name)
I fall to pieces
Time only adds to the flame

You tell me to find someone else to love
Someone who'll love me too (love me too)
The way you used to do (used to do)
But each time I go out with someone new
You walk by and I fall to pieces
You walk by and I fall to pieces","I Fall To Pieces","I Fall To Pieces",1961,2,167,1,"Single",1,3,1961,1960,149.666666666667,0,"3",55.5555555555556
"29",9,"10","George Jones","You keep saying you love him
I believe that it's true
And it just doesn't matter
How much I love you

But in time you'll understand, dear
When you shed a tear
Then you'll know you were living
In your tender years (tender years)

In your eyes there's a lovelight
That shines for him
But how long will it stay there
Will that love light grow dim

You can just see the happiness
You can't see the tears
Yes it's true, you've been living
In your tender years (tender years)

So if I can't be your first love
I'll wait and be your last
I'll be somewhere in your future
To help you forget the past

And you'll know that I love you
With a love that's sincere
'Cause I'll wait till you're through living
In your tender years (tender years)

Yes, you'll know that I love you
With a love that's sincere
Yes, I'll wait till you're through living
In your tender years... (tender years)...","Tender Years","Tender Years / Battle Of Love",1961,2,138,1,"Single",1,6,1961,1960,90,0.2,"2",58.1395348837209
"30",10,"11","Don Gibson","The lights in the harbor
Don't shine for me
I'm like a lost ship
Adrift on the sea

Yeah, the sea of heartbreak
Lost love and loneliness
Memories of your caress so divine
How I wish you were mine

Again my dear
I'm on this sea of tears
Sea of heartbreak

Oh, how did I lose you
Oh, where did I fail
Why did you leave me
Always to sail

Yeah, the sea of heartbreak
Lost love and loneliness
Memories of your caress so divine
How I wish you were mine

Again my dear
I'm on this sea of tears
Sea of heartbreak

Oh, what I'd give just to sail back to shore
Back to your arms once more

Oh, come to my rescue
Come here to me
Take me and keep me
Away from the sea

Yeah, the sea of heartbreak
Lost love and loneliness
Memories of your caress so divine
How I wish you were mine

Again my dear
I'm on this sea of tears
Sea of heartbreak

(Sea of heartbreak)
Yeah, sea of heartbreak
(Sea of heartbreak)
Heartbreak","Sea Of Heartbreak","Sea Of Heartbreak",1961,2,149,1,"Single",1,10,1961,1960,62.5777777777778,0.133333333333333,"3",59.375
"31",12,"13","Kitty Wells","(Back home in heartbreak USA)
The harbor's empty, my love has gone
With aching heart I face each cold and lonely dawn
And till the trade winds bring him home to stay
I'll live in heartbreak USA

Don't let those Geisha girls get your heart in a whirl
And if you meet some sweet Fraulein remember you're mine
Don't forget your sweetheart while you're away
Back home in heartbreak USA

Sometimes I'm lonely and time stands still
And I wonder if you feel the way I always will
So darling write me letters every day
In care of heartbreak USA

Don't let those Geisha girls...","Heartbreak U.S.A.","Heartbreak U.S.A.",1961,12,155,1,"Album",1,3,1961,1960,156.333333333333,0.333333333333333,"3",46.6666666666667
"32",15,"16","Buck Owens","I know that you've been foolin' around on me
Right from the start
So I'll take back my ring and I'll take back my heart
And when you're tired of foolin' around with two or three
Come on home and fool around with me

I wasn't foolin' around the day I said I do
But many a night I wished that I had been a-foolin' too
I know it's foolish taking all this misery
But when it's you a fool I'll always be

I know that you've been foolin' around on me
Right from the start
So I'll take back my ring and I'll take back my heart
And when you're tired of foolin' around with two or three
Come on home and fool around with me

So honey fool around. You know right where I'm at
Don't worry if I'm lonesome 'cause I'm used to that
And when you're tire of foolin' 'round with two or three
Then come on home and fool around with me

I know that you've been foolin' around on me
Right from the start
So I'll take back my ring and I'll take back my heart
And when you're tire of foolin' around with two or three
Come on home and fool around with me...","Foolin' Around","Buck Owens Sings Harlan Howard",1961,12,157,1,"Album",1,4,1961,1960,76.6666666666667,0,"3",72.7272727272727
